dup1	dup2	type
AEP_HVAEP1.G000026	AEP_HVAEP1.G000301	SD
AEP_HVAEP1.G000031	AEP_HVAEP1.G000113	SD
AEP_HVAEP1.G000031	AEP_HVAEP1.G000297	SD
AEP_HVAEP1.G000038	AEP_HVAEP1.G000088	SD
AEP_HVAEP1.G000040	AEP_HVAEP1.G000293	SD
AEP_HVAEP1.G000042	AEP_HVAEP1.G000087	SD
AEP_HVAEP1.G000044	AEP_HVAEP1.G000085	SD
AEP_HVAEP1.G000055	AEP_HVAEP1.G000285	SD
AEP_HVAEP1.G000056	AEP_HVAEP1.G000262	SD
AEP_HVAEP1.G000058	AEP_HVAEP1.G000281	SD
AEP_HVAEP1.G000060	AEP_HVAEP1.G000273	SD
AEP_HVAEP1.G000060	AEP_HVAEP1.G000064	SD
AEP_HVAEP1.G000061	AEP_HVAEP1.G000279	SD
AEP_HVAEP1.G000062	AEP_HVAEP1.G000286	SD
AEP_HVAEP1.G000074	AEP_HVAEP1.G000295	SD
AEP_HVAEP1.G000084	AEP_HVAEP1.G000045	SD
AEP_HVAEP1.G000085	AEP_HVAEP1.G000305	SD
AEP_HVAEP1.G000087	AEP_HVAEP1.G000306	SD
AEP_HVAEP1.G000114	AEP_HVAEP1.G000237	SD
AEP_HVAEP1.G000118	AEP_HVAEP1.G000242	SD
AEP_HVAEP1.G000119	AEP_HVAEP1.G000243	SD
AEP_HVAEP1.G000122	AEP_HVAEP1.G000245	SD
AEP_HVAEP1.G000138	AEP_HVAEP1.G000267	SD
AEP_HVAEP1.G000156	AEP_HVAEP1.G000255	SD
AEP_HVAEP1.G000159	AEP_HVAEP1.G000294	SD
AEP_HVAEP1.G000162	AEP_HVAEP1.G000261	SD
AEP_HVAEP1.G000164	AEP_HVAEP1.G000283	SD
AEP_HVAEP1.G000167	AEP_HVAEP1.G000262	SD
AEP_HVAEP1.G000170	AEP_HVAEP1.G000288	SD
AEP_HVAEP1.G000172	AEP_HVAEP1.G000283	SD
AEP_HVAEP1.G000187	AEP_HVAEP1.G000262	SD
AEP_HVAEP1.G000193	AEP_HVAEP1.G000279	SD
AEP_HVAEP1.G000195	AEP_HVAEP1.G000289	SD
AEP_HVAEP1.G000196	AEP_HVAEP1.G000285	SD
AEP_HVAEP1.G000208	AEP_HVAEP1.G000232	SD
AEP_HVAEP1.G000217	AEP_HVAEP1.G000306	SD
AEP_HVAEP1.G000220	AEP_HVAEP1.G000291	SD
AEP_HVAEP1.G000221	AEP_HVAEP1.G000307	SD
AEP_HVAEP1.G000224	AEP_HVAEP1.G000306	SD
AEP_HVAEP1.G000225	AEP_HVAEP1.G000226	SD
AEP_HVAEP1.G000229	AEP_HVAEP1.G000307	SD
AEP_HVAEP1.G000229	AEP_HVAEP1.G000288	SD
AEP_HVAEP1.G000232	AEP_HVAEP1.G000285	SD
AEP_HVAEP1.G000233	AEP_HVAEP1.G000275	SD
AEP_HVAEP1.G000244	AEP_HVAEP1.G000120	SD
AEP_HVAEP1.G000249	AEP_HVAEP1.G000262	SD
AEP_HVAEP1.G000254	AEP_HVAEP1.G000258	SD
AEP_HVAEP1.G000255	AEP_HVAEP1.G000194	SD
AEP_HVAEP1.G000268	AEP_HVAEP1.G000247	SD
AEP_HVAEP1.G000271	AEP_HVAEP1.G000425	SD
AEP_HVAEP1.G000272	AEP_HVAEP1.G000064	SD
AEP_HVAEP1.G000272	AEP_HVAEP1.G000411	SD
AEP_HVAEP1.G000273	AEP_HVAEP1.G000410	SD
AEP_HVAEP1.G000294	AEP_HVAEP1.G000224	SD
AEP_HVAEP1.G000299	AEP_HVAEP1.G000401	SD
AEP_HVAEP1.G000304	AEP_HVAEP1.G000139	SD
AEP_HVAEP1.G000308	AEP_HVAEP1.G000222	SD
AEP_HVAEP1.G000309	AEP_HVAEP1.G000208	SD
AEP_HVAEP1.G000309	AEP_HVAEP1.G000232	SD
AEP_HVAEP1.G000309	AEP_HVAEP1.G000021	SD
AEP_HVAEP1.G000316	AEP_HVAEP1.G000392	SD
AEP_HVAEP1.G000360	AEP_HVAEP1.G000366	SD
